,TPTG,TPCH,TPFC,TPA1,TPA2,TPAB,VLTG,VLCH,VLFC,VLPL,VLAB,IDTG,IDCH,IDFC,IDPL,IDAB,LDTG,LDCH,LDFC,LDPL,LDAB,HDTG,HDCH,HDFC,HDPL,HDA1,HDA2,V1TG,V1CH,V1FC,V1PL,V2TG,V2CH,V2FC,V2PL,V3TG,V3CH,V3FC,V3PL,V4TG,V4CH,V4FC,V4PL,V5TG,V5CH,V5FC,V5PL,V6TG,V6CH,V6FC,V6PL,L1TG,L1CH,L1FC,L1PL,L1AB,L2TG,L2CH,L2FC,L2PL,L2AB,L3TG,L3CH,L3FC,L3PL,L3AB,L4TG,L4CH,L4FC,L4PL,L4AB,L5TG,L5CH,L5FC,L5PL,L5AB,L6TG,L6CH,L6FC,L6PL,L6AB,H1TG,H1CH,H1FC,H1PL,H1A1,H1A2,H2TG,H2CH,H2FC,H2PL,H2A1,H2A2,H3TG,H3CH,H3FC,H3PL,H3A1,H3A2,H4TG,H4CH,H4FC,H4PL,H4A1,H4A2
H1CH,-0.2185,0.1323,0.1271,0.6925,0.1905,-0.1958,-0.2942,-0.3541,-0.3179,-0.3367,-0.3504,-0.1534,-0.1965,-0.2766,-0.2858,-0.1529,-0.0383,-0.0314,0.036,-0.0039,-0.093,0.2422,0.8525,0.7775,0.7756,0.7089,0.1448,-0.2389,-0.2912,-0.2809,-0.3076,-0.3598,-0.3612,-0.4084,-0.399,-0.3549,-0.3869,-0.3505,-0.3868,-0.2187,-0.2895,-0.2952,-0.2782,0.0389,-0.0185,-0.13,-0.1184,-0.006,0.4365,0.1246,-0.142,0.0332,0.2115,0.2701,0.2308,0.226,0.2261,0.3404,0.442,0.3017,0.309,0.0197,0.1043,0.2615,0.1112,0.0818,-0.2423,-0.3243,-0.2105,-0.318,-0.3647,-0.2515,-0.3523,-0.3279,-0.3404,-0.3678,0.0005,-0.0482,0.052,0.0293,-0.0801,0.6567,1,0.9385,0.9748,0.9688,0.8529,0.3112,0.8298,0.6791,0.701,0.7901,0.5266,-0.0062,0.4807,0.3728,0.4163,0.4054,0.1898,-0.3766,-0.2701,-0.1497,-0.2296,-0.3041,-0.4609
H1FC,-0.1925,0.2452,0.26,0.7458,0.2814,-0.114,-0.2618,-0.312,-0.2802,-0.3099,-0.3263,-0.1577,-0.1756,-0.2134,-0.249,-0.1549,-0.0294,0.0554,0.1572,0.0784,0,0.1466,0.8574,0.8746,0.7816,0.7556,0.2417,-0.2522,-0.2809,-0.3015,-0.3369,-0.2856,-0.2896,-0.3465,-0.3382,-0.2736,-0.3158,-0.3012,-0.3537,-0.1879,-0.2627,-0.2528,-0.2717,0.0437,-0.1252,-0.1471,-0.1608,0.0296,0.3673,-0.0106,-0.105,-0.0529,0.1454,0.2707,0.1609,0.1522,0.1235,0.2323,0.3875,0.1894,0.1971,-0.0432,0.0717,0.3499,0.0808,0.0529,-0.1736,-0.225,-0.0708,-0.2176,-0.2584,-0.1906,-0.2783,-0.2189,-0.2641,-0.2903,0.0611,-0.0043,0.1197,0.0775,-0.0361,0.5186,0.9385,1,0.923,0.9016,0.7977,0.2013,0.7992,0.7963,0.7259,0.7768,0.5165,-0.0554,0.5783,0.5341,0.4828,0.4672,0.2483,-0.3809,-0.1533,0.0298,-0.1351,-0.1574,-0.3449
H1PL,-0.1715,0.0753,0.0753,0.7186,0.2502,-0.2391,-0.2556,-0.3093,-0.282,-0.2945,-0.301,-0.1121,-0.176,-0.2408,-0.2266,-0.1085,0.0173,-0.1201,-0.0521,-0.0731,-0.1528,0.3729,0.8271,0.7486,0.8392,0.7385,0.2064,-0.2007,-0.2466,-0.2393,-0.2653,-0.3231,-0.3228,-0.3691,-0.358,-0.3254,-0.3484,-0.3168,-0.3424,-0.1814,-0.2604,-0.2448,-0.2346,0.1042,0.0293,-0.0843,-0.045,0.0271,0.491,0.0358,-0.0993,0.0752,0.1574,0.2179,0.1937,0.1907,0.2611,0.257,0.337,0.2319,0.2404,0.0756,0.0445,0.1716,0.0621,0.0375,-0.1456,-0.3255,-0.2326,-0.3086,-0.3414,-0.1971,-0.3598,-0.3442,-0.3392,-0.3654,-0.0291,-0.1262,-0.0402,-0.0367,-0.133,0.7402,0.9748,0.923,1,0.9836,0.9335,0.4493,0.87,0.7466,0.8049,0.8707,0.6487,0.1545,0.5505,0.4156,0.5338,0.5077,0.3098,-0.3052,-0.3456,-0.1798,-0.2215,-0.3547,-0.5037
H1A1,-0.2414,-0.002,0.0134,0.6531,0.1545,-0.3008,-0.3212,-0.3634,-0.3424,-0.3442,-0.3545,-0.1768,-0.2281,-0.3062,-0.2962,-0.1716,-0.0345,-0.1601,-0.0888,-0.1203,-0.2147,0.3509,0.7882,0.6956,0.7803,0.6754,0.1024,-0.2579,-0.3105,-0.2919,-0.3145,-0.3748,-0.3816,-0.4259,-0.4072,-0.369,-0.3949,-0.3654,-0.3771,-0.2147,-0.2903,-0.2885,-0.2653,0.0549,0.0383,-0.1164,-0.0562,-0.0181,0.4963,0.0037,-0.1777,0.0288,0.1451,0.172,0.1727,0.1643,0.2341,0.3073,0.3742,0.2723,0.2885,0.0668,0.0687,0.1558,0.0822,0.0579,-0.1808,-0.3583,-0.2832,-0.344,-0.382,-0.2408,-0.4048,-0.4043,-0.3832,-0.4178,-0.082,-0.1755,-0.0859,-0.0953,-0.1968,0.7437,0.9688,0.9016,0.9836,1,0.8968,0.4289,0.84,0.6725,0.7279,0.8184,0.5699,0.1002,0.4558,0.3311,0.4313,0.4067,0.2116,-0.3271,-0.3953,-0.2523,-0.2842,-0.4158,-0.5588
H1A2,0.0213,0.0846,0.0739,0.6903,0.4085,-0.1553,-0.0635,-0.1287,-0.1142,-0.1137,-0.122,0.0761,-0.0623,-0.1145,-0.0027,0.0343,0.1964,-0.1305,-0.1089,-0.0648,-0.1156,0.581,0.7223,0.5996,0.8447,0.708,0.3767,-0.005,-0.0545,-0.0316,-0.0503,-0.1523,-0.1556,-0.1899,-0.1726,-0.1735,-0.1814,-0.1415,-0.1425,-0.0407,-0.1281,-0.0795,-0.0759,0.1994,0.0969,0.0308,0.0571,0.1513,0.622,-0.0297,0.1068,0.204,0.1402,0.1615,0.19,0.1965,0.3619,0.1824,0.2055,0.186,0.1887,0.2213,0.0406,0.0361,0.0654,0.0578,0.0442,-0.2478,-0.1865,-0.2232,-0.2231,-0.0084,-0.2404,-0.2251,-0.2169,-0.2204,0.0288,-0.0951,-0.05,-0.0003,-0.0674,0.8247,0.8529,0.7977,0.9335,0.8968,1,0.6621,0.8673,0.7644,0.8812,0.8996,0.8401,0.4305,0.5975,0.428,0.6568,0.6025,0.5351,-0.1268,-0.4229,-0.2239,-0.1961,-0.4055,-0.4495
H2TG,0.2686,-0.0486,-0.0407,0.374,0.369,-0.0363,0.1974,0.1948,0.1802,0.1767,0.2256,0.3005,0.191,0.1746,0.3193,0.3071,0.3953,-0.2013,-0.2853,-0.1198,-0.1567,0.9514,0.2489,0.0663,0.5268,0.3801,0.3407,0.2411,0.1962,0.2635,0.2748,0.1571,0.1339,0.1335,0.1529,0.1414,0.1485,0.1719,0.2616,0.2426,0.2066,0.254,0.2896,0.3061,0.3817,0.1867,0.3905,0.1111,0.4778,-0.2188,0.3307,0.4313,0.1536,-0.0552,0.2137,0.2198,0.4596,0.0918,-0.0654,0.1772,0.1476,0.4866,0.1204,-0.2816,0.1531,0.1625,0.3013,-0.1013,-0.1299,-0.0698,-0.0336,0.1936,-0.0857,-0.1136,-0.0651,-0.0417,-0.0191,-0.1668,-0.2245,-0.1197,-0.0855,0.8638,0.3112,0.2013,0.4493,0.4289,0.6621,1,0.5311,0.3378,0.577,0.5849,0.6977,0.8506,0.3116,0.1964,0.5051,0.4578,0.5294,0.3035,-0.4538,-0.2618,-0.1438,-0.3567,-0.2769
H2CH,-0.1737,0.1162,0.0629,0.8179,0.5225,-0.2093,-0.2579,-0.2963,-0.2744,-0.2989,-0.265,-0.1139,-0.1403,-0.1944,-0.1542,-0.0499,0.0241,-0.0852,-0.071,-0.0254,-0.1579,0.4084,0.9028,0.7264,0.9373,0.8392,0.465,-0.219,-0.2818,-0.257,-0.2721,-0.3111,-0.3367,-0.3802,-0.3685,-0.2829,-0.3353,-0.3095,-0.2963,-0.084,-0.2038,-0.1731,-0.15,0.238,0.1366,-0.0628,0.0755,-0.029,0.4539,0.025,-0.0663,0.103,0.2004,0.1569,0.2396,0.2185,0.2442,0.3055,0.3634,0.3077,0.2922,0.1126,0.1711,0.1974,0.1942,0.1519,-0.1165,-0.2552,-0.1318,-0.2343,-0.2744,-0.2318,-0.3526,-0.3224,-0.3312,-0.3623,-0.1011,-0.176,-0.0924,-0.0882,-0.182,0.642,0.8298,0.7992,0.87,0.84,0.8673,0.5311,1,0.8498,0.8978,0.9466,0.7537,0.2738,0.784,0.6372,0.7608,0.7248,0.5379,-0.2369,-0.1714,0.0308,-0.0533,-0.1837,-0.2648
H2FC,-0.0576,0.2824,0.2536,0.838,0.6476,-0.0505,-0.1343,-0.1661,-0.1471,-0.1869,-0.1405,-0.0411,-0.0201,-0.035,0.0056,0.0567,0.114,0.0183,0.0931,0.0754,0.0163,0.2453,0.82,0.8085,0.8828,0.8516,0.6197,-0.1674,-0.1792,-0.2194,-0.2491,-0.1524,-0.1648,-0.2161,-0.2219,-0.1239,-0.1708,-0.1714,-0.2,0.0078,-0.1007,-0.0399,-0.0769,0.2891,-0.0427,-0.0536,0.0155,0.1309,0.3596,-0.0584,0.0464,0.0905,0.087,0.2255,0.1366,0.1405,0.1728,0.0356,0.1929,0.019,0.0334,0.0465,-0.0109,0.2577,0.0176,-0.0061,0.0489,-0.103,0.0576,-0.077,-0.0911,-0.0802,-0.2048,-0.1229,-0.182,-0.1933,0.0128,-0.0819,0.0234,0.0133,-0.0741,0.4084,0.6791,0.7963,0.7466,0.6725,0.7644,0.3378,0.8498,1,0.9143,0.8873,0.7597,0.2393,0.9045,0.843,0.8582,0.8308,0.6605,-0.2156,0.0058,0.298,0.1119,0.0488,-0.0772
H2PL,0.0633,0.1688,0.1228,0.8382,0.6588,-0.1163,-0.0282,-0.078,-0.057,-0.0737,-0.0505,0.0902,-0.0029,-0.0309,0.0631,0.1177,0.193,-0.1226,-0.0997,-0.0442,-0.0846,0.5012,0.7843,0.6922,0.9383,0.8512,0.6353,-0.0088,-0.044,-0.0499,-0.0734,-0.1149,-0.1174,-0.1644,-0.1526,-0.1167,-0.1358,-0.1154,-0.1355,0.0479,-0.0688,0.0051,-0.0136,0.3756,0.1228,0.0961,0.1518,0.1213,0.4248,0.0057,0.1444,0.2108,0.0528,0.1286,0.1211,0.1207,0.2551,0.0079,0.0868,0.0134,0.017,0.1331,-0.0615,0.0585,-0.0262,-0.0501,0.085,-0.155,-0.0745,-0.1218,-0.1272,-0.0121,-0.1884,-0.1541,-0.1605,-0.1731,0.0206,-0.0972,-0.0521,0.0075,-0.0584,0.6182,0.701,0.7259,0.8049,0.7279,0.8812,0.577,0.8978,0.9143,1,0.9597,0.899,0.481,0.8794,0.7171,0.9183,0.8797,0.749,-0.0501,-0.1294,0.1017,0.0904,-0.0841,-0.1661
H2A1,-0.0334,0.122,0.1072,0.8325,0.5319,-0.1745,-0.1235,-0.1869,-0.1547,-0.1842,-0.1482,-0.0029,-0.0508,-0.1266,-0.0573,0.0498,0.1298,-0.1434,-0.1026,-0.0712,-0.1358,0.4783,0.8288,0.727,0.9347,0.8508,0.4944,-0.0872,-0.1367,-0.1364,-0.1579,-0.1989,-0.2174,-0.2542,-0.2533,-0.1999,-0.2386,-0.206,-0.2208,-0.0435,-0.173,-0.1052,-0.1102,0.2958,0.0647,-0.0054,0.0813,0.0669,0.419,0.0426,0.0385,0.18,0.0872,0.1446,0.1495,0.1579,0.286,0.1029,0.1835,0.1003,0.1118,0.1483,-0.0108,0.1132,0.023,-0.0007,0.012,-0.2285,-0.1129,-0.1974,-0.2167,-0.1138,-0.3003,-0.2679,-0.2739,-0.2908,-0.0525,-0.1626,-0.1074,-0.0643,-0.1387,0.6963,0.7901,0.7768,0.8707,0.8184,0.8996,0.5849,0.9466,0.8873,0.9597,1,0.8291,0.3949,0.8168,0.666,0.8388,0.8213,0.6209,-0.1755,-0.2261,0.0215,-0.0463,-0.1707,-0.3093
H2A2,0.2853,0.1844,0.1444,0.662,0.7328,0.0299,0.2312,0.1562,0.163,0.2074,0.1502,0.327,0.1316,0.0583,0.315,0.2439,0.3584,-0.0716,-0.1141,0.0021,0.0062,0.6598,0.5657,0.4362,0.7662,0.6705,0.7223,0.2675,0.2349,0.2579,0.2488,0.0958,0.0981,0.065,0.0973,0.0702,0.0975,0.1209,0.1238,0.1729,0.0683,0.1771,0.1431,0.3599,0.1538,0.3027,0.1985,0.3461,0.6138,0.0088,0.3696,0.3226,0.0584,0.0777,0.1171,0.1451,0.3496,-0.0048,-0.0006,0.0176,0.0235,0.2717,-0.0227,-0.0922,0.0051,0.0106,0.2272,0.0172,-0.0463,0.0484,0.0724,0.187,0.069,0.0448,0.0945,0.091,0.1231,0.0354,0.024,0.1241,0.0938,0.6555,0.5266,0.5165,0.6487,0.5699,0.8401,0.6977,0.7537,0.7597,0.899,0.8291,1,0.7007,0.7206,0.5756,0.8307,0.7829,0.8869,0.2171,-0.1804,-0.0211,0.1381,-0.1687,-0.0679
H3TG,0.4883,0.0343,0.0252,0.2427,0.527,0.1186,0.4594,0.4732,0.4335,0.5093,0.4427,0.5097,0.3722,0.3724,0.5701,0.4788,0.5104,-0.1538,-0.2439,-0.0755,-0.0234,0.9135,0.0087,-0.0932,0.3429,0.2389,0.5262,0.4678,0.4904,0.5242,0.5344,0.3874,0.3969,0.386,0.4284,0.3447,0.4239,0.3934,0.45,0.3725,0.3673,0.4543,0.4268,0.3578,0.4356,0.5039,0.4938,0.3492,0.3757,-0.2105,0.5274,0.5058,0.0597,-0.0569,0.1302,0.1509,0.3914,-0.1716,-0.2964,-0.0811,-0.1028,0.4491,-0.0517,-0.3603,-0.0171,0.0081,0.4695,0.2092,-0.0097,0.2466,0.2993,0.3897,0.2738,0.171,0.3016,0.3026,0.0934,-0.042,-0.1333,-0.0032,0.0682,0.6012,-0.0062,-0.0554,0.1545,0.1002,0.4305,0.8506,0.2738,0.2393,0.481,0.3949,0.7007,1,0.3125,0.22,0.5294,0.4882,0.7375,0.6875,-0.1686,-0.1006,0.2408,-0.1248,0.065
H3CH,-0.0044,0.3082,0.2126,0.8624,0.7876,-0.0043,-0.0876,-0.1131,-0.0905,-0.1406,-0.0735,0.0096,0.018,0.0549,0.0658,0.1192,0.1456,0.047,0.0762,0.1167,0.046,0.2376,0.7793,0.7138,0.8691,0.8715,0.7632,-0.1192,-0.1311,-0.1592,-0.1836,-0.1124,-0.1249,-0.1627,-0.1779,-0.0869,-0.1354,-0.1405,-0.1637,0.0494,-0.0543,0.0038,-0.0219,0.3512,0.0515,-0.0122,0.0892,0.0966,0.1978,0.027,0.1041,0.1832,0.104,0.2087,0.1691,0.1535,0.1669,-0.0093,0.1349,-0.0071,-0.0083,0.0702,0.0084,0.2588,0.0444,0.0041,0.0865,-0.0164,0.1605,0.0114,-0.0079,-0.0655,-0.1453,-0.0495,-0.1248,-0.1375,-0.0051,-0.0846,0.0025,0.0047,-0.066,0.2633,0.4807,0.5783,0.5505,0.4558,0.5975,0.3116,0.784,0.9045,0.8794,0.8168,0.7206,0.3125,1,0.893,0.9563,0.948,0.7481,-0.0757,0.2442,0.4848,0.3294,0.3031,0.1842
H3FC,-0.0356,0.4255,0.4051,0.8099,0.7439,0.1555,-0.0948,-0.1052,-0.0758,-0.1357,-0.052,-0.0453,0.0687,0.0521,0.0843,0.1052,0.1636,0.2251,0.2823,0.2838,0.2074,0.139,0.7057,0.7561,0.7427,0.8197,0.7132,-0.1725,-0.1705,-0.1954,-0.219,-0.0114,-0.0508,-0.0889,-0.1101,0.0304,-0.0495,-0.0833,-0.0819,0.0502,-0.0126,0.0205,-0.0065,0.2344,-0.0749,-0.1031,0.01,0.0578,0.1369,-0.0663,0.0896,0.1581,0.1598,0.2593,0.203,0.2149,0.1843,0.0633,0.227,0.058,0.0756,0.1313,0.1402,0.4005,0.1722,0.1429,0.1291,0.109,0.3101,0.13,0.1109,-0.0614,-0.0821,0.0387,-0.0666,-0.0738,0.0144,-0.0199,0.1052,0.0421,-0.0245,0.1442,0.3728,0.5341,0.4156,0.3311,0.428,0.1964,0.6372,0.843,0.7171,0.666,0.5756,0.22,0.893,1,0.8255,0.8588,0.6424,-0.0683,0.3637,0.6951,0.3869,0.4508,0.3027
